[User ID]	[Service ID]	[TP]	[User Country]	[User AS]	[Service Country]	[Service AS]
90	77	1.57	0	122	1	548
91	77	3.944	15	17	1	548
95	77	5.859	29	72	1	548
114	77	4.287	28	126	1	548
139	77	2.024	0	4	1	548
153	77	2.851	9	113	1	548
202	77	5.563	29	27	1	548
212	77	7.142	16	60	1	548
223	77	6.525	29	59	1	548
225	77	5.736	29	59	1	548
247	77	5.988	29	116	1	548
265	77	3.759	8	49	1	548
275	77	2.384	5	76	1	548
276	77	1.074	6	67	1	548
296	77	0.79	1	38	1	548
334	77	4.36	29	55	1	548
0	99	4.981	29	115	2	804
17	99	2.834	29	112	2	804
32	99	3.976	29	54	2	804
40	99	2.574	29	18	2	804
53	99	4.95	29	21	2	804
79	99	6.633	9	113	2	804
81	99	4.439	25	123	2	804
92	99	6.633	15	17	2	804
103	99	4.419	29	103	2	804
106	99	3.616	29	128	2	804
268	99	4.938	12	42	2	804
275	99	3.3	5	76	2	804
289	99	2.209	29	107	2	804
290	99	3.976	29	107	2	804
296	99	2.842	1	38	2	804
298	99	3.59	1	38	2	804
336	99	2.359	29	117	2	804
0	109	16.666	29	115	2	49
23	109	10.471	29	119	2	49
24	109	10.471	29	119	2	49
25	109	15.748	29	104	2	49
61	109	15.384	29	90	2	49
71	109	12.5	29	114	2	49
72	109	12.195	29	114	2	49
95	109	10.471	29	72	2	49
96	109	10.362	29	72	2	49
124	109	2.014	23	121	2	49
128	109	7.407	29	7	2	49
132	109	11.976	9	113	2	49
156	109	5.882	4	30	2	49
157	109	3.984	4	30	2	49
164	109	9.803	29	39	2	49
203	109	15.625	29	27	2	49
229	109	14.705	29	82	2	49
233	109	10.81	29	64	2	49
256	109	40.816	18	50	2	49
289	109	13.513	29	107	2	49
292	109	13.071	2	2	2	49
326	109	5.714	17	36	2	49
0	131	19.867	29	115	4	43
20	131	21.897	29	135	4	43
23	131	14.218	29	119	4	43
64	131	3.5	29	57	4	43
68	131	18.518	29	118	4	43
99	131	45.454	9	113	4	43
117	131	42.253	9	100	4	43
121	131	11.627	21	106	4	43
143	131	44.117	9	12	4	43
207	131	20.0	29	132	4	43
216	131	9.146	30	33	4	43
254	131	24.193	20	40	4	43
263	131	11.718	9	113	4	43
270	131	37.974	19	10	4	43
274	131	19.48	5	76	4	43
276	131	44.117	6	67	4	43
280	131	34.883	19	102	4	43
286	131	14.218	29	69	4	43
289	131	17.045	29	107	4	43
308	131	13.824	29	77	4	43
322	131	18.633	29	85	4	43
337	131	12.048	29	117	4	43
0	137	3.129	29	115	4	82
5	137	5.249	29	15	4	82
39	137	4.975	29	18	4	82
117	137	10.989	9	100	4	82
177	137	11.976	9	113	4	82
233	137	2.949	29	64	4	82
241	137	21.276	27	101	4	82
308	137	1.696	29	77	4	82
332	137	2.369	29	58	4	82
336	137	2.026	29	117	4	82
0	145	0.557	29	115	4	43
3	145	10.344	29	28	4	43
13	145	14.354	29	11	4	43
14	145	13.392	29	11	4	43
84	145	19.108	9	130	4	43
139	145	11.904	0	4	4	43
174	145	25.423	9	113	4	43
196	145	3.654	16	32	4	43
203	145	13.043	29	27	4	43
212	145	3.601	16	60	4	43
215	145	4.983	16	60	4	43
239	145	32.258	27	101	4	43
259	145	11.857	7	29	4	43
273	145	17.543	28	126	4	43
287	145	6.912	29	69	4	43
304	145	4.838	16	60	4	43
322	145	9.523	29	85	4	43
336	145	3.708	29	117	4	43
0	193	0.356	29	115	70	808
4	193	4.535	29	28	70	808
34	193	7.751	29	62	70	808
47	193	5.05	29	34	70	808
61	193	3.338	29	90	70	808
80	193	2.478	15	17	70	808
85	193	2.541	9	130	70	808
91	193	5.952	15	17	70	808
100	193	22.222	29	103	70	808
137	193	4.175	29	46	70	808
171	193	14.814	29	83	70	808
222	193	17.094	29	59	70	808
223	193	16.393	29	59	70	808
288	193	4.21	29	107	70	808
326	193	5.0	17	36	70	808
331	193	3.262	22	13	70	808
338	193	2.547	29	87	70	808
0	205	0.834	29	115	6	578
141	205	0.479	29	52	6	578
262	205	2.983	9	113	6	578
276	205	8.591	6	67	6	578
293	205	5.714	29	96	6	578
328	205	5.17	9	113	6	578
0	212	21.126	29	115	7	642
5	212	14.423	29	15	7	642
55	212	16.574	29	37	7	642
57	212	16.216	29	45	7	642
60	212	19.354	29	73	7	642
77	212	71.428	15	17	7	642
86	212	73.17	9	130	7	642
140	212	21.582	29	52	7	642
147	212	46.153	8	125	7	642
157	212	8.62	4	30	7	642
183	212	100.0	0	5	7	642
191	212	13.761	29	68	7	642
193	212	142.857	10	98	7	642
211	212	44.776	25	123	7	642
223	212	12.711	29	59	7	642
228	212	13.888	29	109	7	642
268	212	150.0	12	42	7	642
287	212	15.0	29	69	7	642
292	212	17.857	2	2	7	642
0	224	70.0	29	115	9	203
3	224	61.403	29	28	9	203
75	224	99.999	2	8	9	203
118	224	40.0	9	113	9	203
158	224	0.367	4	30	9	203
161	224	24.999	4	26	9	203
172	224	35.175	29	55	9	203
234	224	53.846	2	20	9	203
282	224	34.653	19	102	9	203
296	224	29.166	1	38	9	203
317	224	0.348	29	88	9	203
321	224	78.651	29	85	9	203
0	240	72.164	29	115	9	203
42	240	59.829	29	92	9	203
49	240	72.916	29	63	9	203
60	240	61.403	29	73	9	203
121	240	42.168	21	106	9	203
134	240	58.333	29	51	9	203
138	240	37.634	0	4	9	203
143	240	40.697	9	12	9	203
186	240	28.571	10	78	9	203
194	240	37.037	19	136	9	203
195	240	37.837	19	136	9	203
218	240	59.829	29	92	9	203
246	240	41.176	29	126	9	203
294	240	189.189	29	96	9	203
302	240	23.89	3	91	9	203
310	240	233.333	29	77	9	203
312	240	51.851	29	80	9	203
335	240	34.825	29	55	9	203
0	247	71.428	29	115	9	203
4	247	77.777	29	28	9	203
9	247	58.823	29	133	9	203
10	247	132.075	29	105	9	203
32	247	76.086	29	54	9	203
42	247	36.269	29	92	9	203
75	247	101.449	2	8	9	203
131	247	0.371	11	84	9	203
150	247	41.666	9	113	9	203
193	247	33.333	10	98	9	203
216	247	20.648	30	33	9	203
228	247	134.615	29	109	9	203
232	247	205.882	29	64	9	203
239	247	40.462	27	101	9	203
243	247	40.935	27	101	9	203
261	247	39.772	9	113	9	203
272	247	37.634	28	126	9	203
289	247	28.571	29	107	9	203
295	247	59.829	29	19	9	203
313	247	49.999	29	80	9	203
315	247	83.333	29	3	9	203
318	247	118.644	29	88	9	203
338	247	75.268	29	87	9	203
0	278	10.204	29	115	9	203
1	278	7.056	29	115	9	203
23	278	6.842	29	119	9	203
30	278	33.816	2	53	9	203
33	278	8.045	29	62	9	203
48	278	8.045	29	34	9	203
59	278	9.9	29	66	9	203
65	278	9.21	29	79	9	203
88	278	18.567	27	101	9	203
93	278	6.585	29	97	9	203
105	278	22.364	8	41	9	203
120	278	7.812	21	106	9	203
233	278	28.571	29	64	9	203
250	278	16.786	13	9	9	203
304	278	7.734	16	60	9	203
316	278	85.365	2	75	9	203
326	278	27.777	17	36	9	203
0	287	71.428	29	115	9	203
2	287	43.478	16	94	9	203
6	287	127.272	29	15	9	203
39	287	97.222	29	18	9	203
58	287	85.365	29	45	9	203
108	287	118.644	29	120	9	203
163	287	3.277	29	39	9	203
168	287	39.772	9	113	9	203
169	287	78.651	29	83	9	203
174	287	39.106	9	113	9	203
235	287	28.925	9	113	9	203
252	287	30.701	20	40	9	203
253	287	34.482	20	40	9	203
277	287	39.548	6	67	9	203
280	287	34.313	19	102	9	203
284	287	38.043	9	113	9	203
305	287	29.787	16	60	9	203
0	291	71.428	29	115	9	203
7	291	127.272	29	15	9	203
9	291	43.209	29	133	9	203
13	291	53.435	29	11	9	203
32	291	76.086	29	54	9	203
39	291	86.419	29	18	9	203
52	291	61.946	29	21	9	203
57	291	59.322	29	45	9	203
64	291	93.333	29	57	9	203
70	291	40.229	9	100	9	203
93	291	122.807	29	97	9	203
113	291	42.168	16	61	9	203
196	291	39.548	16	32	9	203
207	291	65.42	29	132	9	203
208	291	33.175	12	43	9	203
246	291	27.45	29	126	9	203
268	291	27.667	12	42	9	203
269	291	38.674	28	126	9	203
278	291	34.482	19	102	9	203
288	291	71.428	29	107	9	203
305	291	40.935	16	60	9	203
306	291	35.714	16	60	9	203
309	291	162.79	29	77	9	203
0	310	91.836	29	115	9	203
36	310	76.271	29	71	9	203
51	310	86.538	29	63	9	203
60	310	69.23	29	73	9	203
87	310	52.631	27	101	9	203
98	310	52.941	9	113	9	203
100	310	71.428	29	103	9	203
119	310	51.724	9	113	9	203
166	310	88.235	29	6	9	203
169	310	101.123	29	83	9	203
189	310	41.86	25	14	9	203
208	310	42.452	12	43	9	203
218	310	76.923	29	92	9	203
242	310	51.724	27	101	9	203
261	310	51.136	9	113	9	203
264	310	53.254	9	100	9	203
268	310	49.18	12	42	9	203
287	310	86.538	29	69	9	203
296	310	33.707	1	38	9	203
297	310	34.883	1	1	9	203
306	310	52.023	16	60	9	203
0	311	71.428	29	115	9	203
9	311	61.946	29	133	9	203
19	311	99.999	29	89	9	203
49	311	44.871	29	63	9	203
63	311	43.75	29	57	9	203
95	311	120.689	29	72	9	203
100	311	43.209	29	103	9	203
127	311	54.687	29	7	9	203
147	311	38.674	8	125	9	203
216	311	19.607	30	33	9	203
237	311	40.462	27	101	9	203
275	311	21.084	5	76	9	203
338	311	95.89	29	87	9	203
0	317	0.787	29	115	9	203
34	317	0.621	29	62	9	203
44	317	0.635	29	65	9	203
65	317	0.618	29	79	9	203
83	317	0.812	9	113	9	203
98	317	1.36	9	113	9	203
105	317	0.616	8	41	9	203
109	317	0.623	29	120	9	203
145	317	0.632	28	126	9	203
180	317	1.856	2	56	9	203
185	317	0.63	29	48	9	203
201	317	7.085	8	49	9	203
206	317	0.649	29	132	9	203
221	317	0.646	29	59	9	203
248	317	19.801	29	116	9	203
276	317	1.625	6	67	9	203
293	317	1.034	29	96	9	203
0	341	72.164	29	115	9	203
52	341	56.0	29	21	9	203
62	341	89.743	29	90	9	203
95	341	120.689	29	72	9	203
123	341	10.014	23	121	9	203
143	341	41.176	9	12	9	203
147	341	38.674	8	125	9	203
154	341	33.018	10	131	9	203
171	341	76.923	29	83	9	203
173	341	101.449	29	55	9	203
181	341	61.403	2	56	9	203
229	341	24.054	29	82	9	203
245	341	94.594	29	70	9	203
292	341	179.487	2	2	9	203
319	341	116.666	29	88	9	203
337	341	58.333	29	117	9	203
0	356	72.164	29	115	9	203
7	356	127.272	29	15	9	203
20	356	65.42	29	135	9	203
59	356	92.105	29	66	9	203
97	356	42.168	9	113	9	203
105	356	40.0	8	41	9	203
189	356	33.98	25	14	9	203
216	356	18.229	30	33	9	203
220	356	127.272	29	59	9	203
228	356	66.666	29	109	9	203
280	356	34.653	19	102	9	203
305	356	25.925	16	60	9	203
0	361	72.164	29	115	9	203
7	361	127.272	29	15	9	203
66	361	34.653	18	50	9	203
68	361	64.814	29	118	9	203
90	361	40.0	0	122	9	203
115	361	41.176	28	126	9	203
122	361	4.72	23	121	9	203
152	361	41.916	9	113	9	203
160	361	18.229	4	26	9	203
169	361	78.651	29	83	9	203
200	361	40.229	8	49	9	203
208	361	39.772	12	43	9	203
215	361	34.146	16	60	9	203
216	361	20.771	30	33	9	203
221	361	118.644	29	59	9	203
244	361	73.684	29	70	9	203
276	361	40.229	6	67	9	203
307	361	38.251	16	60	9	203
313	361	37.837	29	80	9	203
327	361	35.714	17	36	9	203
0	377	59.322	29	115	9	203
38	377	40.0	29	129	9	203
42	377	59.322	29	92	9	203
63	377	46.666	29	57	9	203
100	377	62.5	29	103	9	203
111	377	13.806	14	86	9	203
116	377	39.772	9	100	9	203
148	377	24.999	9	113	9	203
155	377	32.863	10	131	9	203
160	377	13.182	4	26	9	203
163	377	2.599	29	39	9	203
191	377	63.636	29	68	9	203
193	377	33.333	10	98	9	203
221	377	129.629	29	59	9	203
235	377	41.666	9	113	9	203
282	377	20.0	19	102	9	203
285	377	38.461	9	113	9	203
338	377	95.89	29	87	9	203
0	394	71.428	29	115	9	203
16	394	98.591	29	22	9	203
17	394	116.666	29	112	9	203
50	394	72.916	29	63	9	203
56	394	67.307	29	23	9	203
68	394	64.814	29	118	9	203
73	394	94.594	29	127	9	203
89	394	39.772	0	122	9	203
91	394	36.269	15	17	9	203
97	394	42.168	9	113	9	203
128	394	40.462	29	7	9	203
180	394	114.754	2	56	9	203
181	394	46.357	2	56	9	203
187	394	33.653	10	78	9	203
208	394	29.787	12	43	9	203
214	394	33.653	16	60	9	203
222	394	127.272	29	59	9	203
239	394	40.462	27	101	9	203
265	394	36.649	8	49	9	203
268	394	39.548	12	42	9	203
273	394	42.424	28	126	9	203
275	394	19.83	5	76	9	203
0	405	26.923	29	115	9	203
16	405	9.859	29	22	9	203
18	405	7.717	29	112	9	203
20	405	17.456	29	135	9	203
84	405	14.432	9	130	9	203
131	405	13.182	11	84	9	203
149	405	10.101	9	113	9	203
153	405	12.477	9	113	9	203
160	405	19.337	4	26	9	203
175	405	9.681	9	113	9	203
235	405	15.486	9	113	9	203
262	405	10.622	9	113	9	203
273	405	17.857	28	126	9	203
276	405	7.99	6	67	9	203
307	405	11.945	16	60	9	203
319	405	5.636	29	88	9	203
0	410	2.401	29	115	9	203
9	410	0.64	29	133	9	203
16	410	0.641	29	22	9	203
24	410	0.707	29	119	9	203
113	410	0.657	16	61	9	203
131	410	8.394	11	84	9	203
148	410	0.651	9	113	9	203
179	410	0.813	2	56	9	203
184	410	0.719	17	31	9	203
193	410	0.637	10	98	9	203
232	410	0.704	29	64	9	203
243	410	0.665	27	101	9	203
244	410	0.64	29	70	9	203
246	410	0.602	29	126	9	203
248	410	15.717	29	116	9	203
251	410	0.652	13	9	9	203
270	410	0.652	19	10	9	203
291	410	0.778	2	2	9	203
306	410	0.65	16	60	9	203
322	410	0.634	29	85	9	203
0	423	71.428	29	115	9	203
15	423	98.591	29	22	9	203
114	423	41.176	28	126	9	203
126	423	30.973	29	7	9	203
167	423	19.39	9	113	9	203
177	423	40.697	9	113	9	203
196	423	39.548	16	32	9	203
230	423	72.164	29	82	9	203
244	423	0.381	29	70	9	203
254	423	34.313	20	40	9	203
273	423	42.682	28	126	9	203
293	423	184.21	29	96	9	203
298	423	21.341	1	38	9	203
299	423	27.45	1	38	9	203
320	423	118.644	29	88	9	203
326	423	30.303	17	36	9	203
334	423	61.403	29	55	9	203
0	437	6.033	29	115	9	203
2	437	0.673	16	94	9	203
6	437	0.629	29	15	9	203
15	437	0.683	29	22	9	203
24	437	0.618	29	119	9	203
34	437	0.628	29	62	9	203
49	437	0.624	29	63	9	203
72	437	0.606	29	114	9	203
74	437	0.636	29	127	9	203
76	437	0.575	2	8	9	203
77	437	0.632	15	17	9	203
83	437	0.606	9	113	9	203
92	437	0.627	15	17	9	203
114	437	2.53	28	126	9	203
125	437	0.74	29	7	9	203
137	437	0.609	29	46	9	203
158	437	1.014	4	30	9	203
209	437	0.649	29	99	9	203
229	437	0.646	29	82	9	203
264	437	0.623	9	100	9	203
270	437	0.807	19	10	9	203
271	437	0.727	19	10	9	203
275	437	0.593	5	76	9	203
295	437	0.618	29	19	9	203
315	437	0.634	29	3	9	203
324	437	0.936	29	93	9	203
0	486	108.433	29	115	9	119
19	486	72.0	29	89	9	119
35	486	90.909	29	62	9	119
73	486	150.0	29	127	9	119
92	486	51.724	15	17	9	119
118	486	52.631	9	113	9	119
123	486	19.354	23	121	9	119
147	486	50.561	8	125	9	119
161	486	43.689	4	26	9	119
196	486	41.86	16	32	9	119
242	486	52.631	27	101	9	119
243	486	53.571	27	101	9	119
254	486	44.776	20	40	9	119
257	486	51.136	18	50	9	119
258	486	49.18	7	29	9	119
259	486	50.0	7	29	9	119
263	486	47.12	9	113	9	119
267	486	46.875	8	49	9	119
283	486	40.723	19	102	9	119
288	486	169.811	29	107	9	119
312	486	116.883	29	80	9	119
313	486	107.142	29	80	9	119
0	509	12.711	29	115	70	12
43	509	11.857	29	65	70	12
57	509	13.953	29	45	70	12
69	509	4.942	9	100	70	12
86	509	9.677	9	130	70	12
94	509	12.096	29	97	70	12
96	509	8.45	29	72	70	12
99	509	6.55	9	113	70	12
144	509	10.416	28	126	70	12
145	509	8.571	28	126	70	12
147	509	8.174	8	125	70	12
158	509	5.19	4	30	70	12
163	509	0.447	29	39	70	12
252	509	7.957	20	40	70	12
295	509	14.423	29	19	70	12
299	509	6.976	1	38	70	12
302	509	4.032	3	91	70	12
338	509	8.219	29	87	70	12
0	530	37.5	29	115	9	804
17	530	31.25	29	112	9	804
19	530	25.862	29	89	9	804
21	530	26.785	29	119	9	804
34	530	60.0	29	62	9	804
77	530	16.393	15	17	9	804
101	530	37.5	29	103	9	804
103	530	38.461	29	103	9	804
127	530	26.785	29	7	9	804
154	530	14.563	10	131	9	804
155	530	13.636	10	131	9	804
156	530	11.904	4	30	9	804
172	530	32.967	29	55	9	804
174	530	17.241	9	113	9	804
189	530	15.625	25	14	9	804
200	530	24.193	8	49	9	804
206	530	62.5	29	132	9	804
215	530	13.953	16	60	9	804
231	530	29.411	29	74	9	804
297	530	14.563	1	1	9	804
325	530	12.295	17	36	9	804
0	549	12.765	29	115	9	592
7	549	73.17	29	15	9	592
16	549	38.961	29	22	9	592
35	549	12.096	29	62	9	592
39	549	13.1	29	18	9	592
75	549	30.303	2	8	9	592
79	549	14.563	9	113	9	592
80	549	7.692	15	17	9	592
95	549	66.666	29	72	9	592
123	549	6.535	23	121	9	592
133	549	16.393	9	113	9	592
136	549	10.638	29	46	9	592
156	549	8.196	4	30	9	592
172	549	32.608	29	55	9	592
189	549	8.547	25	14	9	592
201	549	2.24	8	49	9	592
260	549	6.96	7	29	9	592
0	574	9.828	29	115	9	491
26	574	9.07	29	104	9	491
52	574	6.088	29	21	9	491
75	574	1.597	2	8	9	491
101	574	6.472	29	103	9	491
125	574	9.345	29	7	9	491
145	574	5.398	28	126	9	491
215	574	3.536	16	60	9	491
217	574	3.192	30	33	9	491
219	574	10.309	29	92	9	491
242	574	5.78	27	101	9	491
245	574	8.83	29	70	9	491
251	574	6.768	13	9	9	491
269	574	6.825	28	126	9	491
289	574	12.084	29	107	9	491
293	574	9.523	29	96	9	491
295	574	10.61	29	19	9	491
309	574	9.756	29	77	9	491
322	574	10.723	29	85	9	491
330	574	3.597	24	47	9	491
0	591	2.493	29	115	9	566
6	591	35.989	29	15	9	566
39	591	65.727	29	18	9	566
46	591	21.439	29	34	9	566
61	591	40.229	29	90	9	566
67	591	16.412	18	50	9	566
103	591	72.538	29	103	9	566
117	591	26.768	9	100	9	566
144	591	29.166	28	126	9	566
180	591	41.176	2	56	9	566
218	591	132.075	29	92	9	566
243	591	15.102	27	101	9	566
258	591	22.187	7	29	9	566
271	591	20.202	19	10	9	566
280	591	2.41	19	102	9	566
307	591	24.096	16	60	9	566
318	591	1.527	29	88	9	566
320	591	1.527	29	88	9	566
326	591	11.164	17	36	9	566
337	591	10.401	29	117	9	566
0	645	20.202	29	115	11	661
7	645	46.204	29	15	11	661
8	645	27.944	29	133	11	661
14	645	17.348	29	11	11	661
26	645	23.294	29	104	11	661
28	645	30.501	29	110	11	661
50	645	27.397	29	63	11	661
65	645	18.205	29	79	11	661
92	645	1.383	15	17	11	661
110	645	7.637	14	86	11	661
112	645	10.687	16	95	11	661
123	645	2.623	23	121	11	661
139	645	5.797	0	4	11	661
166	645	19.337	29	6	11	661
167	645	18.817	9	113	11	661
172	645	19.943	29	55	11	661
187	645	15.873	10	78	11	661
191	645	13.888	29	68	11	661
208	645	12.499	12	43	11	661
209	645	17.925	29	99	11	661
210	645	22.4	29	81	11	661
222	645	30.237	29	59	11	661
231	645	24.561	29	74	11	661
235	645	13.435	9	113	11	661
281	645	2.274	19	102	11	661
312	645	17.565	29	80	11	661
319	645	26.119	29	88	11	661
0	668	14.184	29	115	11	138
27	668	13.986	29	110	11	138
64	668	16.877	29	57	11	138
65	668	16.064	29	79	11	138
89	668	6.535	0	122	11	138
106	668	12.232	29	128	11	138
131	668	49.382	11	84	11	138
132	668	12.578	9	113	11	138
233	668	21.052	29	64	11	138
235	668	11.527	9	113	11	138
236	668	10.84	9	113	11	138
247	668	18.433	29	116	11	138
294	668	10.443	29	96	11	138
304	668	17.094	16	60	11	138
322	668	16.393	29	85	11	138
335	668	15.267	29	55	11	138
337	668	12.539	29	117	11	138
0	673	2.592	29	115	11	664
63	673	11.811	29	57	11	664
93	673	17.543	29	97	11	664
100	673	10.714	29	103	11	664
127	673	10.238	29	7	11	664
129	673	3.916	11	84	11	664
156	673	58.823	4	30	11	664
157	673	57.692	4	30	11	664
168	673	9.803	9	113	11	664
172	673	11.764	29	55	11	664
186	673	5.042	10	78	11	664
189	673	8.0	25	14	11	664
190	673	8.021	25	14	11	664
210	673	5.87	29	81	11	664
240	673	9.933	27	101	11	664
256	673	11.857	18	50	11	664
263	673	9.316	9	113	11	664
268	673	11.811	12	42	11	664
287	673	16.393	29	69	11	664
291	673	13.1	2	2	11	664
332	673	14.423	29	58	11	664
0	676	7.604	29	115	11	664
1	676	10.204	29	115	11	664
12	676	11.173	29	105	11	664
15	676	7.692	29	22	11	664
45	676	8.196	29	34	11	664
50	676	7.352	29	63	11	664
101	676	6.92	29	103	11	664
130	676	22.727	11	84	11	664
161	676	3.642	4	26	11	664
163	676	0.627	29	39	11	664
164	676	5.586	29	39	11	664
174	676	6.535	9	113	11	664
186	676	5.97	10	78	11	664
203	676	7.352	29	27	11	664
209	676	6.535	29	99	11	664
235	676	5.681	9	113	11	664
241	676	6.734	27	101	11	664
317	676	10.526	29	88	11	664
0	698	0.99	29	115	11	43
20	698	7.421	29	135	11	43
29	698	8.869	28	126	11	43
35	698	11.661	29	62	11	43
76	698	17.777	2	8	11	43
86	698	7.789	9	130	11	43
95	698	1.641	29	72	11	43
171	698	15.686	29	83	11	43
175	698	8.483	9	113	11	43
176	698	14.545	9	113	11	43
184	698	19.417	17	31	11	43
208	698	1.847	12	43	11	43
219	698	8.255	29	92	11	43
240	698	14.209	27	101	11	43
275	698	11.713	5	76	11	43
295	698	9.163	29	19	11	43
321	698	17.467	29	85	11	43
329	698	8.13	9	113	11	43
336	698	11.204	29	117	11	43
0	717	0.604	29	115	11	138
18	717	0.54	29	112	11	138
32	717	0.279	29	54	11	138
84	717	2.663	9	130	11	138
107	717	3.139	29	128	11	138
161	717	0.595	4	26	11	138
165	717	2.642	29	6	11	138
169	717	4.032	29	83	11	138
183	717	1.229	0	5	11	138
216	717	2.155	30	33	11	138
219	717	1.04	29	92	11	138
250	717	0.702	13	9	11	138
254	717	0.904	20	40	11	138
265	717	1.355	8	49	11	138
274	717	0.176	5	76	11	138
283	717	0.296	19	102	11	138
297	717	1.026	1	1	11	138
328	717	2.109	9	113	11	138
337	717	1.71	29	117	11	138
0	738	0.371	29	115	11	43
6	738	8.595	29	15	11	43
26	738	3.08	29	104	11	43
72	738	5.66	29	114	11	43
93	738	4.464	29	97	11	43
100	738	2.811	29	103	11	43
114	738	5.0	28	126	11	43
149	738	2.915	9	113	11	43
152	738	2.073	9	113	11	43
159	738	1.68	4	35	11	43
170	738	2.967	29	83	11	43
171	738	4.267	29	83	11	43
190	738	2.042	25	14	11	43
198	738	5.928	29	16	11	43
221	738	0.488	29	59	11	43
281	738	0.323	19	102	11	43
311	738	3.076	29	111	11	43
330	738	2.073	24	47	11	43
0	826	0.4	29	115	11	138
3	826	6.315	29	28	11	138
26	826	3.978	29	104	11	138
55	826	3.968	29	37	11	138
96	826	8.264	29	72	11	138
150	826	4.155	9	113	11	138
156	826	3.061	4	30	11	138
158	826	8.379	4	30	11	138
222	826	5.671	29	59	11	138
234	826	3.731	2	20	11	138
246	826	2.994	29	126	11	138
260	826	4.291	7	29	11	138
305	826	3.512	16	60	11	138
306	826	6.521	16	60	11	138
311	826	3.802	29	111	11	138
0	916	0.526	29	115	17	685
11	916	5.366	29	105	17	685
54	916	6.198	29	0	17	685
69	916	8.982	9	100	17	685
81	916	0.568	25	123	17	685
114	916	24.0	28	126	17	685
121	916	8.152	21	106	17	685
138	916	28.846	0	4	17	685
144	916	14.084	28	126	17	685
147	916	16.949	8	125	17	685
177	916	14.925	9	113	17	685
207	916	10.909	29	132	17	685
262	916	6.109	9	113	17	685
267	916	6.772	8	49	17	685
